"filename", "language", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "Markdown", "YAML", "TypeScript JSX", "CSS", "HTML", "XML", "Shell Script", "Ignore", "PL/SQL", "Docker", "Properties", "comment", "blank", "total"
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/eslint.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/nodemon.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/package.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/readme.md", "Markdown", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 136
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/app.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 82
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/bin/prisma-client.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/bin/www.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 119
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/server/procedures/directories.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/server/procedures/employee.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/server/procedures/export.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/server/procedures/login.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/server/procedures/requests.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/src/server/trpc.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/tests/bruno/bruno.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/tests/example.test.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/turbo.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/backend/vitest.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/.prettierrc.cjs", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/eslint.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/package.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/public/config.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/readme.md", "Markdown", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 156
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/3dMarquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 71
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/CloseButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/DepartmentList.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 2, 201
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/DepartmentPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 37
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/GenerateText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 79
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/ResetButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/SubmitButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/TextArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/TextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/exportCSV.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/importCSV.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 60
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/lottie/navigationAnimated.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/DepartmentDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/DestinationDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/FloorSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/GoogleMapSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 177
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/MapComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 23, 39, 364
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/MapRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 176
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/SearchContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 124
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/overlays/20PatriotOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/overlays/22PatriotOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 162
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/overlays/MGBOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 51
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/map/routeCalculator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 34
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/navigation/pathfinding/Graph.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 40, 216
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/navigation/pathfinding/drawingPath.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 21, 28, 184
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/navigation/pathfinding/hospitalNodes.ts", "TypeScript", 457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 468
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/RequestForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31, 263
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/formTypeButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/inputFields/ServiceComponentInputBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 25, 4, 80
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/inputFields/textInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/serviceForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 5, 41
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/serviceFormSideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/serviceRequest/sideNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 41
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/CreateAccountButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/CreateAccountForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/InputBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/InputHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/ShowPasswordButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/SignInForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 60
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/signIn/SubmitPasswordButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/ui/3d-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 143
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/ui/DisplayLottie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/Doanh/Documents/TermD2024-2025/CS3733/team-f/apps/frontend/src/components/ui/background-lines.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 149
