building,floor,name,x,y
pat20,1,,42.09318438491681,-71.26626762159405
pat20,1,,42.0931915450917,-71.26624347734955
pat20,1,,42.09317772338485,-71.26627928874244
pat20,1,,42.093167042515695,-71.26631260519903
pat20,1,,42.09319216522536,-71.26622519438574
pat20,1,,42.093158273193495,-71.26633407779802
pat20,1,,42.093128780300766,-71.26642542669585
pat20,1,,42.093168297476716,-71.26628678363137
pat20,1,,42.09318018287291,-71.26624131162362
pat20,1,,42.09316041820373,-71.26629985827799
pat20,1,,42.09315644802178,-71.26630784776506
pat20,1,,42.09314870217491,-71.26632586908231
pat20,1,,42.09317862400446,-71.26622498287031
pat20,1,,42.09308069790418,-71.26655245686977
pat20,1,,42.093084537606636,-71.26653951076163
pat20,1,,42.09308837713836,-71.26652656522923
pat20,1,,42.093103733557946,-71.26647478885583
pat20,1,,42.093098932577114,-71.26648827694542
pat20,1,,42.09312042798755,-71.266415802419
pat20,1,,42.09316749447596,-71.26625711173168
pat20,1,,42.09309106005724,-71.26651212097005
pat20,1,,42.093133793254125,-71.26636804119745
pat20,1,,42.09306308664862,-71.26659833787461
pat20,1,,42.09306692696975,-71.26658538998076
pat20,1,,42.09307076712007,-71.26657244266272
pat20,1,,42.0930733271254,-71.26656381143725
pat20,1,,42.09310333509639,-71.2664599387937
pat20,1,,42.09312424501615,-71.26638134479697
pat20,1,,42.09311918952093,-71.2663956910401
pat20,1,,42.09313862099036,-71.26631938627116
pat20,1,,42.09306459760169,-71.26656085370794
pat20,1,,42.09309838250204,-71.2664469520427
pat20,1,,42.0931244799638,-71.26635896763773
pat20,1,,42.0931554284893,-71.26625462846384
pat20,1,,42.09316949233311,-71.2662072139321
pat20,1,,42.093119527056295,-71.26634599032111
pat20,1,,42.093128029657585,-71.2663146289438
pat20,1,,42.09305400697473,-71.26655607823527
pat20,1,,42.09308907114042,-71.26643787190154
pat20,1,,42.093144325878214,-71.26625160025215
pat20,1,,42.09316171357047,-71.2661929838467
pat20,1,,42.09313376842032,-71.2662790998489
pat20,1,,42.09313760461241,-71.26626616767471
pat20,1,,42.093112395456885,-71.2663349672007
pat20,1,,42.093125696136376,-71.26629013057179
pat20,1,,42.09308201137582,-71.26643469455065
pat20,1,,42.09311743974772,-71.26630987225556
pat20,1,,42.09304482958275,-71.26655194001147
pat20,1,,42.09306633035827,-71.26647946217854
pat20,1,,42.09304898741104,-71.26653522641408
pat20,1,,42.09305282701012,-71.26652228341439
pat20,1,,42.093056666438486,-71.26650934099014
pat20,1,,42.09306050569616,-71.26649639914132
pat20,1,,42.09307304608179,-71.2664541264446
pat20,1,,42.0931543863856,-71.2661799343985
pat20,1,,42.09303215333232,-71.26658927480459
pat20,1,,42.093035993646986,-71.26657632945268
pat20,1,,42.0930398337909,-71.26656338467636
pat20,1,,42.0931350147642,-71.26624253826111
pat20,1,,42.09310291085389,-71.26634536393027
pat20,1,,42.093111608043365,-71.26631604676622
pat20,1,,42.093149116854455,-71.26617073771246
pat20,1,,42.09311452428913,-71.26627925256177
pat20,1,,42.09312884545139,-71.26623097990861
pat20,1,,42.093068793615565,-71.26643070108821
pat20,1,,42.09315191769549,-71.26615051424201
pat20,1,,42.093038143529185,-71.2665313162403
pat20,1,,42.09309162641008,-71.26635104200076
pat20,1,,42.09307486421984,-71.26640214887775
pat20,1,,42.09308393336717,-71.26635540199422
pat20,1,,42.0931069545459,-71.26627780760103
pat20,1,,42.093034157389816,-71.26651778138059
